Year,Cushing,Europe,NY,Gasoline_us,gasoline_la
1986,15.04768924,,0.408177,0.396687,
1986,15.04768924,,0.408177,0.396687,
1987,19.18422623,18.53082,0.515751,0.505549,
1987,19.18422623,18.53082,0.515751,0.505549,
1988,15.96540856,14.90878,0.492876,0.481598,
1988,15.96540856,14.90878,0.492876,0.481598,
1989,19.63548638,18.22823,0.57,0.557754,
1989,19.63548638,18.22823,0.57,0.557754,
1990,24.52657588,23.76145,0.73021,0.709266,
1990,24.52657588,23.76145,0.73021,0.709266,
1991,21.54136719,20.03875,0.66257,0.635798,
1991,21.54136719,20.03875,0.66257,0.635798,
1992,20.5755642,19.32125,0.590824,0.574867,
1992,20.5755642,19.32125,0.590824,0.574867,
1993,18.4671371,17.04857,0.515297,0.508767,
1994,17.20709163,14.83,0.490595,0.479817,
1995,18.495,17.265,0.542717,0.509692,
1996,21.54,21.425,0.618882,0.596736,
1997,21.6,20.155,0.603718,0.585321,
1998,14.775,13.155,0.427422,0.413236,
1999,19.09,17.935,0.544645,0.522446,
2000,26.14,23.265,0.863032,0.837768,
2001,23.625,22.26,0.741608,0.740472,
2002,26.17,25.125,0.724576,0.72134,
2003,32.24,30.31,0.884348,0.871276,1.030309
2004,38.535,36.05,1.180807,1.169787,1.405036
2005,52.51,49.545,1.565243,1.596307,1.773215
2006,61.98,65.15206,1.823594,1.825956,2.065157
2007,72.38375,72.44116,2.061806,2.039647,2.293349
2008,99.6715,96.94435,2.451597,2.47134,2.631277
2009,61.95044,61.73877,1.66523,1.635377,1.845401
2010,79.47571,79.60944,2.096778,2.054323,2.213797
2011,94.88087,111.2643,2.796615,2.748266,2.897357
2012,93.9643,111.5707,2.938671,2.815844,3.033702
2013,97.98254,108.555,2.81071,2.694464,2.918349
2014,93.17222,98.88992,2.610087,2.485167,2.665365
2015,48.65671,52.28012,1.612306,1.553865,1.949377
2016,43.29365079,43.65757,1.392405,1.334639,1.454861
